"country_code,page,acq_weekly_traffic"
"SC,PayPal Home,6003.0"
"BG,PayPal Home,12553.0"
"GR,PayPal Home,26005.0"
"EG,Checkout,22610.0"
"JO,Checkout,5903.0"
"AU,Checkout,31235.0"
"RS,Checkout,5883.0"
"AM,Checkout,683.0"
"SK,Checkout,3052.0"
"LA,PayPal Home,1067.0"
"RS,PayPal Home,10792.0"
"AM,Checkout,683.0"
"SK,Checkout,3052.0"
"LA,PayPal Home,1067.0"
"RS,PayPal Home,10792.0"
"AO,Checkout,660.0"
"BW,PayPal Home,891.0"
"ET,Checkout,725.0"
"ZW,PayPal Home,1977.0"
"EG,PayPal Home,25261.0"
"AZ,PayPal Home,3148.0"
"BY,Checkout,1713.0"
"RE,Checkout,1745.0"
"HU,PayPal Home,23651.0"
"NZ,Checkout,11670.0"
"TG,PayPal Home,606.0"
"DE,PayPal Home,881492.0"
"LT,Checkout,4180.0"
"UG,PayPal Home,2472.0"
"VI,PayPal Home,512.0"
"PR,Checkout,5673.0"
"CR,PayPal Home,9560.0"
"TR,PayPal Home,42709.0"
"CI,PayPal Home,3161.0"
"BO,Checkout,2472.0"
"CD,Checkout,501.0"
"MA,Checkout,33990.0"
"FR,PayPal Home,297539.0"
"SV,PayPal Home,5811.0"
"US,Checkout,685802.0"
"IS,Checkout,7803.0"
"CY,PayPal Home,3144.0"
"MU,PayPal Home,2601.0"
"GB,Checkout,123346.0"
"AU,PayPal Home,157340.0"
"NG,Checkout,12740.0"
"PY,Checkout,2309.0"
"HN,PayPal Home,5077.0"
"UG,Checkout,955.0"
"LA,Checkout,750.0"
"IQ,Checkout,15073.0"
"LY,Checkout,2027.0"
"MD,PayPal Home,4453.0"
"KH,PayPal Home,3745.0"
"DO,PayPal Home,14507.0"
"BS,Checkout,599.0"
",Checkout,5701.0"
"HT,Checkout,821.0"
"HN,Checkout,2708.0"
"BR,Checkout,12643.0"
"LV,PayPal Home,5809.0"
"SV,Checkout,2999.0"
"LV,Checkout,2542.0"
"SV,Checkout,2999.0"
"LV,Checkout,2542.0"
"AL,Checkout,3266.0"
"MM,Checkout,2170.0"
"IN,Checkout,189201.0"
"KE,PayPal Home,23655.0"
"LB,Checkout,2484.0"
"KR,Checkout,26218.0"
"PA,PayPal Home,6923.0"
"PA,Checkout,3841.0"
"BH,Checkout,1742.0"
"TT,PayPal Home,2810.0"
"CH,Checkout,14773.0"
"RO,Checkout,13683.0"
"RW,PayPal Home,782.0"
"MY,Checkout,16754.0"
"BY,PayPal Home,8231.0"
"TN,Checkout,3310.0"
"BO,PayPal Home,5711.0"
"BE,PayPal Home,49069.0"
"YE,PayPal Home,1071.0"
"PS,Checkout,4271.0"
"BS,PayPal Home,1427.0"
"CA,PayPal Home,167969.0"
"MO,Checkout,858.0"
"CL,PayPal Home,43239.0"
"CN,PayPal Home,287383.0"
"EC,PayPal Home,25126.0"
"ZM,Checkout,2637.0"
"TH,PayPal Home,45925.0"
"ID,Checkout,67595.0"
"MZ,Checkout,1126.0"
